chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gpt,US,farleft,-7.5024999999999995,-6.8725000000000005,4,-0.07249999999999979,-0.004166666666668206,
gpt,US,farright,-7.69,-6.975,4,-0.2600000000000007,-0.10666666666666735,
gpt,VN,control,-6.7524999999999995,-6.63,4,0.33750000000000124,0.2010000000000005,
gpt,VN,farleft,-7.1899999999999995,-7.46,2,-0.09999999999999876,-0.6289999999999996,
gpt,VN,farright,-7.3775,-6.717499999999999,4,-0.28749999999999964,0.11350000000000104,
perplexity,AE,control,-0.7966666666666665,-1.3666666666666665,3,4.136190476190477,3.8061904761904763,
perplexity,AE,farright,-8.035,-8.0275,4,-3.102142857142856,-2.8546428571428573,
perplexity,BR,control,-8.4725,-7.477500000000001,4,-0.264318181818183,0.34159090909091017,
perplexity,BR,farleft,-8.127500000000001,-7.987500000000001,4,0.08068181818181586,-0.16840909090908962,
perplexity,BR,farright,-7.963333333333334,-8.05,3,0.24484848484848332,-0.23090909090908962,
perplexity,CA,control,-8.0975,-7.8975,4,0.041666666666666075,-0.15000000000000036,
perplexity,CA,farleft,-7.942500000000001,-7.32,4,0.19666666666666544,0.4274999999999993,
perplexity,CA,farright,-8.377500000000001,-8.025,4,-0.23833333333333506,-0.27750000000000075,
perplexity,CH,control,-6.91,-3.23,4,0.5475000000000003,2.4112500000000003,
perplexity,CH,farright,-8.005,-8.0525,4,-0.5475000000000003,-2.41125,
perplexity,CO,control,-3.5324999999999998,-1.9874999999999998,4,2.902045454545455,3.816136363636364,
perplexity,CO,farleft,-8.13,-8.0,3,-1.6954545454545462,-2.1963636363636363,
perplexity,CO,farright,-8.065,-7.9725,4,-1.630454545454545,-2.1688636363636364,
perplexity,NG,control,-7.8775,-5.1275,4,-1.3333333333333348,-0.13583333333333414,
perplexity,NG,farleft,-3.6574999999999998,-1.8975,4,2.886666666666666,3.0941666666666663,
perplexity,NG,farright,-8.0975,-7.95,4,-1.5533333333333346,-2.958333333333334,
perplexity,NL,control,-7.2825,-2.8575,4,0.4537500000000003,2.4825,
perplexity,NL,farright,-8.190000000000001,-7.822500000000001,4,-0.4537500000000012,-2.482500000000001,
perplexity,RS,control,-7.2525,-3.755,4,0.5012499999999998,2.11625,
perplexity,RS,farright,-8.255,-7.987500000000001,4,-0.5012500000000006,-2.116250000000001,
perplexity,SG,control,-1.815,-2.1675,4,1.3130000000000006,1.1865,
perplexity,SG,farright,-8.38,-8.1,1,-5.252000000000001,-4.7459999999999996,
perplexity,US,control,-7.6274999999999995,-7.5525,4,0.1775000000000002,0.1633333333333331,
perplexity,US,farleft,-7.8775,-7.605,4,-0.07250000000000068,0.1108333333333329,
perplexity,US,farright,-7.91,-7.99,4,-0.10500000000000043,-0.2741666666666669,
gemini,AE,control,-4.25,-5.2175,4,0.008970588235293953,-0.9501470588235303,
gemini,BR,control,-3.25,-3.6399999999999997,4,1.008970588235294,0.6273529411764702,
gemini,BZ,control,-3.2525,-3.1025,4,1.006470588235294,1.1648529411764699,
gemini,CA,control,-4.345,-3.9625,4,-0.0860294117647058,0.30485294117647,
gemini,CH,control,-4.3149999999999995,-4.0,4,-0.05602941176470555,0.2673529411764699,
gemini,CO,control,-4.8149999999999995,-4.8825,4,-0.5560294117647056,-0.6151470588235304,
